wavenumber_cm1,absorbance
896.0000,0.044973
897.0000,0.048532
898.0000,0.052157
899.0000,0.055870
900.0000,0.059534
901.0000,0.063244
902.0000,0.067248
903.0000,0.071959
904.0000,0.077433
905.0000,0.083522
906.0000,0.089868
907.0000,0.096119
908.0000,0.101797
909.0000,0.106860
910.0000,0.111503
911.0000,0.115957
912.0000,0.120714
913.0000,0.126272
914.0000,0.132853
915.0000,0.140407
916.0000,0.148661
917.0000,0.157367
918.0000,0.165943
919.0000,0.173996
920.0000,0.181278
921.0000,0.187844
922.0000,0.193624
923.0000,0.200332
924.0000,0.208972
925.0000,0.220078
926.0000,0.233237
927.0000,0.247571
928.0000,0.261268
929.0000,0.273507
930.0000,0.283802
931.0000,0.289983
932.0000,0.290103
933.0000,0.283925
934.0000,0.272479
935.0000,0.258203
936.0000,0.242855
937.0000,0.228281
938.0000,0.215304
939.0000,0.205781
940.0000,0.200110
941.0000,0.196142
942.0000,0.192174
943.0000,0.186873
944.0000,0.181277
945.0000,0.175873
946.0000,0.172993
947.0000,0.168389
948.0000,0.158329
949.0000,0.143970
950.0000,0.126677
951.0000,0.107951
952.0000,0.089377
953.0000,0.072800
954.0000,0.060084
955.0000,0.052101
956.0000,0.049730
957.0000,0.047514
958.0000,0.043965
959.0000,0.040585
960.0000,0.037486
961.0000,0.034613
962.0000,0.031953
963.0000,0.029483
964.0000,0.027310
965.0000,0.025414
966.0000,0.023752
967.0000,0.022313
968.0000,0.021056
969.0000,0.019883
970.0000,0.018700
971.0000,0.017501
972.0000,0.016342
973.0000,0.015233
974.0000,0.014167
975.0000,0.013124
976.0000,0.012131
977.0000,0.011204
978.0000,0.010343
979.0000,0.009527
980.0000,0.008720
981.0000,0.007891
982.0000,0.007453
983.0000,0.006449
984.0000,0.006059
985.0000,0.006337
986.0000,0.007366
987.0000,0.009085
988.0000,0.011319
989.0000,0.013757
990.0000,0.015833
991.0000,0.017145
992.0000,0.017563
993.0000,0.016164
994.0000,0.014395
995.0000,0.012151
996.0000,0.009791
997.0000,0.007592
998.0000,0.005791
999.0000,0.004735
1000.0000,0.004345
1001.0000,0.004381
1002.0000,0.004893
1003.0000,0.005592
1004.0000,0.006404
1005.0000,0.007204
1006.0000,0.007892
1007.0000,0.008396
1008.0000,0.008783
1009.0000,0.009292
1010.0000,0.009857
1011.0000,0.010303
1012.0000,0.010957
1013.0000,0.011593
1014.0000,0.012030
1015.0000,0.012419
1016.0000,0.014385
1017.0000,0.019159
1018.0000,0.027614
1019.0000,0.042003
1020.0000,0.060793
1021.0000,0.089774
1022.0000,0.109329
1023.0000,0.115541
1024.0000,0.109221
1025.0000,0.092485
1026.0000,0.069644
1027.0000,0.044475
1028.0000,0.021816
1029.0000,0.007190
1030.0000,0.002496
1031.0000,0.010211
1032.0000,0.011925
1033.0000,0.012169
1034.0000,0.012419
1035.0000,0.012623
1036.0000,0.012977
1037.0000,0.013179
1038.0000,0.013399
1039.0000,0.013613
1040.0000,0.013857
1041.0000,0.014121
1042.0000,0.014381
1043.0000,0.014621
1044.0000,0.014812
1045.0000,0.014950
1046.0000,0.015037
1047.0000,0.015084
1048.0000,0.015094
1049.0000,0.015095
1050.0000,0.015159
1051.0000,0.015217
1052.0000,0.015384
1053.0000,0.015752
1054.0000,0.016429
1055.0000,0.017428
1056.0000,0.018714
1057.0000,0.020347
1058.0000,0.022345
1059.0000,0.024781
1060.0000,0.027423
1061.0000,0.030075
1062.0000,0.033607
1063.0000,0.038602
1064.0000,0.045457
1065.0000,0.055466
1066.0000,0.068198
1067.0000,0.082205
1068.0000,0.093874
1069.0000,0.100474
1070.0000,0.099981
1071.0000,0.090446
1072.0000,0.074632
1073.0000,0.055427
1074.0000,0.036089
1075.0000,0.020540
1076.0000,0.010126
1077.0000,0.004825
1078.0000,0.002765
1079.0000,0.002851
1080.0000,0.003611
1081.0000,0.003295
1082.0000,0.003212
1083.0000,0.003300
1084.0000,0.003407
1085.0000,0.003648
1086.0000,0.003862
